Issue_Year,Cash_Settlements,Guarantees,Guar_Duration,Guar_Duration_Lower,Guar_Duration_Upper,Type,Key,Rate_%
2018,True,True,5<x<=10,5,10,A,2018_TRUE_TRUE_5<x<=10_A,3.75
2019,True,True,5<x<=10,5,10,A,2019_TRUE_TRUE_5<x<=10_A,4.0
2020,True,True,5<x<=10,5,10,A,2020_TRUE_TRUE_5<x<=10_A,3.25
2021,True,True,5<x<=10,5,10,A,2021_TRUE_TRUE_5<x<=10_A,3.0
2022,True,True,5<x<=10,5,10,A,2022_TRUE_TRUE_5<x<=10_A,3.5
2023,True,True,5<x<=10,5,10,A,2023_TRUE_TRUE_5<x<=10_A,4.5
2024,True,True,5<x<=10,5,10,A,2024_TRUE_TRUE_5<x<=10_A,5.0
1983,True,True,5<x<=10,5,10,B,1983_TRUE_TRUE_5<x<=10_B,9.25
1984,True,True,5<x<=10,5,10,B,1984_TRUE_TRUE_5<x<=10_B,9.25
1985,True,True,5<x<=10,5,10,B,1985_TRUE_TRUE_5<x<=10_B,9.0
1986,True,True,5<x<=10,5,10,B,1986_TRUE_TRUE_5<x<=10_B,7.75
1987,True,True,5<x<=10,5,10,B,1987_TRUE_TRUE_5<x<=10_B,6.75
1988,True,True,5<x<=10,5,10,B,1988_TRUE_TRUE_5<x<=10_B,7.5
1989,True,True,5<x<=10,5,10,B,1989_TRUE_TRUE_5<x<=10_B,7.25
1990,True,True,5<x<=10,5,10,B,1990_TRUE_TRUE_5<x<=10_B,7.0
1991,True,True,5<x<=10,5,10,B,1991_TRUE_TRUE_5<x<=10_B,7.0
1992,True,True,5<x<=10,5,10,B,1992_TRUE_TRUE_5<x<=10_B,6.5
1993,True,True,5<x<=10,5,10,B,1993_TRUE_TRUE_5<x<=10_B,6.0
1994,True,True,5<x<=10,5,10,B,1994_TRUE_TRUE_5<x<=10_B,5.75
1995,True,True,5<x<=10,5,10,B,1995_TRUE_TRUE_5<x<=10_B,6.25
1996,True,True,5<x<=10,5,10,B,1996_TRUE_TRUE_5<x<=10_B,5.75
1997,True,True,5<x<=10,5,10,B,1997_TRUE_TRUE_5<x<=10_B,5.75
1998,True,True,5<x<=10,5,10,B,1998_TRUE_TRUE_5<x<=10_B,5.5
